state,x,y
Acre, -283.0, 79.0
Alagoas,320.0, 74.0
Amapá,32.0, 299.0
Amazonas,-253.0, 200.0
Bahia,190.0, 42.0
Ceará,254.0, 183.0
Distrito Federal,115.0, -30.0
Espírito Santo,
Goiás,47.0, -46.0
Maranhão,137.0, 178.0
Mato Grosso,-51.0, 59.0
Mato Grosso do Sul,-44.0, -102.0
Minas Gerais,152.0, -67.0
Pará,-13.0, 191.0
Paraíba,302.0, 124.0
Paraná,18.0, -187.0
Pernambuco,273.0, 104.0
Piauí,180.0, 112.0
Rio Grande do Norte,313.0, 157.0
Rio Grande do Sul,8.0, -281.0
Roraima, -151.0, 319.0
Rondônia, -189.0, 59.0
Santa Catarina,67.0, -239.0
São Paulo, 98.0, -152.0
Sergipe,305.0, 50.0
Tocantins,87.0, 83.0
